Company Name,Year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Status
C_37,2016,3.47,0.39,5.21,2.36,2.87,-24.12,0.02,0.11,0.34,-0.01,0.55,1
C_38,2016,2.38,1.26,234.95,2.51,2.36,32.66,0.3,-0.08,0,0.03,0.03,1
C_1,2017,1.69,3.1,14.25,8.48,1.49,59.65,0.65,-0.34,0.74,-0.4,0.43,1
C_2,2017,1,0.44,0,0,0,7.42,0.32,-0.19,0.46,-0.27,0.28,1
C_3,2017,2.36,0.94,4.38,20.35,1.5,0,0.32,-0.02,0.81,-0.08,0.45,1
C_4,2017,2.06,0.51,3.45,3.16,1.8,587.82,0.49,-0.01,0.44,0.09,0.62,1
C_5,2017,1.45,1.21,1.83,9.79,0.4,22.6,0.47,-0.02,0.6,-0.06,0.35,1
C_6,2017,1.06,1.16,2.81,4.93,0.44,1.09,0.16,-0.09,0.01,-0.16,0.27,1
C_7,2017,7.09,0.27,9.61,4.54,6.91,0,0.64,-0.04,2.28,-0.03,0.78,1
C_8,2017,1.11,1.61,2.73,4.47,0.56,2.39,0.41,-0.15,0.11,-0.1,0.26,1
C_9,2017,5.73,0.17,0,0,0,0,0.29,-0.04,-0.11,-0.19,0.24,1
C_10,2017,0.52,0,0,0,0,0,0.15,0.21,0.12,0.17,0,0
C_11,2017,0.77,0.98,3.41,6.49,0.48,4.63,0.5,-0.01,0.66,0,0.15,0
C_12,2017,0.43,0.35,4.55,10.01,0.15,-3.08,0.18,-0.17,0.07,-0.05,0.67,0
C_13,2017,0.87,0.99,2.11,5.12,0.32,-1.17,0.19,-0.3,0.01,0.08,-0.21,0
C_14,2017,0.64,0.79,0,6.01,0,0.13,0.17,0.03,0.1,-0.41,-0.15,0
C_15,2017,0.98,0.07,0.09,1.99,0.05,-2.3,0.1,-0.04,-174.04,1.65,-0.15,0
C_16,2017,4.44,0.62,10.35,13.3,3.92,459.08,0.48,-0.13,1.71,-0.31,0.85,1
C_17,2017,4.26,0.59,4.14,2.72,2.78,249.13,0.2,-0.08,0.7,-0.2,0.65,1
C_18,2017,0.5,0.67,46.81,7.12,0.48,-3.45,0.07,-0.18,0.01,-0.04,-0.11,0
C_19,2017,1.2,0.1,0,2.54,1.16,4.98,1,-0.07,1.61,-0.3,0.2,1
C_20,2017,2.08,0.95,15.8,2.16,1.98,22.84,0.11,-0.36,-0.02,-0.05,-1.03,1
C_21,2017,0.98,0.38,5.97,3.84,0.75,2.91,0.35,-0.08,0.51,-0.01,0.14,0
C_22,2017,5.8,0.38,492.4,0.88,5.79,0,0.03,0.08,0.34,-0.25,0.61,1
C_23,2017,1.65,1.18,2.34,2.72,1.09,5.06,0.5,-0.63,-0.58,-0.44,0.47,1
C_24,2017,1.26,0.61,0,0,0,7.53,0.29,-0.15,0.37,0.02,0.68,1
C_25,2017,2.1,1,2.67,3.77,1.85,287.02,0.8,-0.06,0.82,0.08,0.71,1
C_26,2017,2.39,0.34,2.39,2.66,1.61,2.49,0.38,-0.05,0.87,-0.02,0.14,1
C_27,2017,6.77,0.88,2.96,6.77,5.12,2808.71,0.56,-0.34,3.33,-0.24,1.13,1
